"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 09:58:47 GMT 2025","Sat Oct 18 09:58:55 GMT 2025","8355","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_navigation","Test Page Factory navigation methods"
"passed","Sat Oct 18 09:57:17 GMT 2025","Sat Oct 18 09:57:17 GMT 2025","106","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_30_cleanup","Test cleanup operations."
"passed","Sat Oct 18 09:55:21 GMT 2025","Sat Oct 18 09:55:24 GMT 2025","2510","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_19_faker_data_generation","Test with Faker generated data."
"passed","Sat Oct 18 09:57:19 GMT 2025","Sat Oct 18 09:57:21 GMT 2025","2539","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_31_file_upload","Test file upload using send_keys (primary) and pyautogui (fallback)."
"passed","Sat Oct 18 09:58:20 GMT 2025","Sat Oct 18 09:58:28 GMT 2025","7624","selenium_demoblaze_framework.tests","test_link_checker","TestLinkChecker","","","test_check_all_links","Test checking all links on a page"
"passed","Sat Oct 18 09:57:22 GMT 2025","Sat Oct 18 09:57:31 GMT 2025","9131","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_32_broken_links_check","Test broken link validation on The Internet homepage."
"passed","Sat Oct 18 09:59:29 GMT 2025","Sat Oct 18 09:59:38 GMT 2025","9183","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_search_functionality","Test product search functionality"
"passed","Sat Oct 18 09:58:37 GMT 2025","Sat Oct 18 09:58:37 GMT 2025","52","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_single_elements","Test Page Factory single element initialization"
"passed","Sat Oct 18 09:58:59 GMT 2025","Sat Oct 18 09:59:17 GMT 2025","17887","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_login_flow","Test complete login flow using Page Factory"
"passed","Sat Oct 18 09:54:48 GMT 2025","Sat Oct 18 09:54:54 GMT 2025","6384","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_10_data_driven_excel[test_data1]","Test with data from Excel (parameterized)."
"passed","Sat Oct 18 09:54:55 GMT 2025","Sat Oct 18 09:54:55 GMT 2025","1","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_11_data_driven_xml","Test with data from XML."
"passed","Sat Oct 18 09:54:28 GMT 2025","Sat Oct 18 09:54:28 GMT 2025","192","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_06_cookie_operations","Test cookie operations."
"passed","Sat Oct 18 09:55:55 GMT 2025","Sat Oct 18 09:55:58 GMT 2025","2985","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_21_invalid_login","Test invalid login attempt."
"passed","Sat Oct 18 09:56:44 GMT 2025","Sat Oct 18 09:56:57 GMT 2025","12692","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_26_categories","Test navigation through all categories."
"passed","Sat Oct 18 09:54:29 GMT 2025","Sat Oct 18 09:54:33 GMT 2025","4664","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_07_scrolling_operations","Test scrolling operations."
"passed","Sat Oct 18 09:58:32 GMT 2025","Sat Oct 18 09:58:33 GMT 2025","759","selenium_demoblaze_framework.tests","test_link_checker","TestLinkChecker","","","test_check_external_links","Test checking only external links"
"passed","Sat Oct 18 09:57:37 GMT 2025","Sat Oct 18 09:57:38 GMT 2025","487","selenium_demoblaze_framework.tests","test_file_upload","TestFileUpload","","","test_upload_single_file_send_keys","Test single file upload on The Internet."
"passed","Sat Oct 18 09:55:07 GMT 2025","Sat Oct 18 09:55:07 GMT 2025","124","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_17_css_properties","Test CSS property validations."
"passed","Sat Oct 18 09:57:32 GMT 2025","Sat Oct 18 09:57:36 GMT 2025","4195","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_33_radio_button_demo","Demonstrate radio button interaction on a compatible site."
"passed","Sat Oct 18 09:59:21 GMT 2025","Sat Oct 18 09:59:25 GMT 2025","4124","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_product_details","Test getting product details"
"passed","Sat Oct 18 09:55:25 GMT 2025","Sat Oct 18 09:55:54 GMT 2025","29352","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_20_complete_e2e_flow","Test complete end-to-end shopping flow."
"passed","Sat Oct 18 09:57:04 GMT 2025","Sat Oct 18 09:57:04 GMT 2025","0","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_28_mobile_emulation","Mobile emulation is disabled by default."
"passed","Sat Oct 18 09:59:42 GMT 2025","Sat Oct 18 09:59:42 GMT 2025","0","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_element_caching","Test that elements are properly cached"
"passed","Sat Oct 18 09:56:07 GMT 2025","Sat Oct 18 09:56:31 GMT 2025","24321","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_24_about_us_modal","Test About Us modal and video playback."
"passed","Sat Oct 18 09:58:41 GMT 2025","Sat Oct 18 09:58:43 GMT 2025","2029","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_multiple_elements","Test Page Factory multiple elements initialization"
"passed","Sat Oct 18 09:57:40 GMT 2025","Sat Oct 18 09:58:20 GMT 2025","39241","selenium_demoblaze_framework.tests","test_keyword_driven","TestKeywordDriven","","","test_keyword_driven_execution","Test keyword-driven framework execution"
"passed","Sat Oct 18 09:53:52 GMT 2025","Sat Oct 18 09:53:54 GMT 2025","2407","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_01_browser_windows_and_tabs","Test handling multiple windows and tabs."
"passed","Sat Oct 18 09:54:37 GMT 2025","Sat Oct 18 09:54:39 GMT 2025","2266","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_09_wait_strategies","Test different wait strategies."
"passed","Sat Oct 18 09:55:03 GMT 2025","Sat Oct 18 09:55:06 GMT 2025","2376","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_16_element_states","Test element state validations."
"passed","Sat Oct 18 09:56:32 GMT 2025","Sat Oct 18 09:56:43 GMT 2025","11004","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_25_pagination","Test product pagination."
"passed","Sat Oct 18 09:54:58 GMT 2025","Sat Oct 18 09:54:58 GMT 2025","125","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_14_storage_operations","Test local and session storage operations."
"passed","Sat Oct 18 09:55:59 GMT 2025","Sat Oct 18 09:56:02 GMT 2025","2954","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_22_duplicate_signup","Test signup with existing username."
"passed","Sat Oct 18 09:54:17 GMT 2025","Sat Oct 18 09:54:20 GMT 2025","3046","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_04_javascript_execution","Test JavaScript execution."
"passed","Sat Oct 18 09:54:56 GMT 2025","Sat Oct 18 09:54:56 GMT 2025","1","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_12_data_driven_json","Test with data from JSON."
"passed","Sat Oct 18 09:54:57 GMT 2025","Sat Oct 18 09:54:57 GMT 2025","1","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_13_data_driven_csv","Test with data from CSV."
